Pathway,"GSE30962 PRIMARY VS SECONDARY ACUTE LCMV INF
CD8 TCELL UP",GSE13547 CTRL VS ANTI IGM STIM BCELL 12H UP,GSE14415 NATURAL TREG VS TCONV DN,"GSE15750 DAY6 VS DAY10 TRAF6KO EFF CD8 TCELL
UP",GSE15750 DAY6 VS DAY10 EFF CD8 TCELL UP,GSE14415 INDUCED VS NATURAL TREG DN,GSE13547 CTRL VS ANTI IGM STIM BCELL 2H UP,"GSE39110 DAY3 VS DAY6 POST IMMUNIZATION CD8
TCELL DN",GSE2405 S AUREUS VS UNTREATED NEUTROPHIL DN,GSE14415 INDUCED TREG VS TCONV UP,GSE13547 2H VS 12 H ANTI IGM STIM BCELL DN,"GSE27241 WT VS RORGT KO TH17 POLARIZED CD4
TCELL UP","GSE19941 LPS VS LPS AND IL10 STIM IL10 KO
MACROPHAGE UP","GSE21670 UNTREATED VS TGFB IL6 TREATED CD4
TCELL UP","GSE21546 UNSTIM VS ANTI CD3 STIM DP
THYMOCYTES DN","GSE39556 CD8A DC VS NK CELL MOUSE 3H POST
POLYIC INJ UP",GSE33292 WT VS TCF1 KO DN3 THYMOCYTE DN,"GSE36476 CTRL VS TSST ACT 40H MEMORY CD4
TCELL YOUNG DN","GSE36476 CTRL VS TSST ACT 72H MEMORY CD4
TCELL YOUNG DN","GSE36476 CTRL VS TSST ACT 72H MEMORY CD4
TCELL OLD DN","GSE24634 TREG VS TCONV POST DAY7 IL4
CONVERSION UP",GSE24634 TEFF VS TCONV DAY7 IN CULTURE UP,"GSE12845 IGD POS BLOOD VS PRE GC TONSIL BCELL
DN","GSE17301 ACD3 ACD28 VS ACD3 ACD28 AND IFNA5
STIM CD8 TCELL UP","GSE36891 POLYIC TLR3 VS PAM TLR2 STIM
PERITONEAL MACROPHAGE UP","GSE37605 FOXP3 FUSION GFP VS IRES GFP TREG
C57BL6 UP","GSE37605 C57BL6 VS NOD FOXP3 FUSION GFP TREG
DN",GSE27434 WT VS DNMT1 KO TREG DN,GSE42021 TREG PLN VS CD24HI TREG THYMUS UP,GSE14769 UNSTIM VS 60MIN LPS BMDM DN,GSE14769 UNSTIM VS 40MIN LPS BMDM DN,"GSE26343 UNSTIM VS LPS STIM NFAT5 KO
MACROPHAGE DN",GSE9988 LOW LPS VS CTRL TREATED MONOCYTE UP,"GSE19888 ADENOSINE A3R INH PRETREAT AND ACT
BY A3R VS A3R INH AND TCELL MEMBRANES ACT
MAST CELL UP","GSE9988 ANTI TREM1 AND LPS VS CTRL TREATED
MONOCYTES UP","GSE9988 ANTI TREM1 VS CTRL TREATED MONOCYTES
UP","GSE29617 CTRL VS DAY7 TIV FLU VACCINE PBMC
2008 UP","GSE21546 WT VS SAP1A KO AND ELK1 KO ANTI CD3
STIM DP THYMOCYTES UP","GSE21546 UNSTIM VS ANTI CD3 STIM DP
THYMOCYTES UP","GSE21546 UNSTIM VS ANTI CD3 STIM SAP1A KO DP
THYMOCYTES UP"
"GSE30962 PRIMARY VS SECONDARY ACUTE LCMV INF
CD8 TCELL UP",1.0,0.305,0.265,0.365,0.325,0.25,0.22,0.245,0.215,0.185,0.19,0.2,0.115,0.13,0.09,0.23,0.19,0.175,0.185,0.185,0.175,0.16,0.135,0.115,0.005,0.015,0.02,0.015,0.015,0.01,0.01,0.015,0.005,0.005,0.02,0.02,0.0,0.0,0.0,0.0
GSE13547 CTRL VS ANTI IGM STIM BCELL 12H UP,0.32620320855614976,1.0,0.5935828877005348,0.44919786096256686,0.42780748663101603,0.3689839572192513,0.40106951871657753,0.25668449197860965,0.25668449197860965,0.27807486631016043,0.29411764705882354,0.25133689839572193,0.15508021390374332,0.16042780748663102,0.0748663101604278,0.21390374331550802,0.17647058823529413,0.20855614973262032,0.21390374331550802,0.17647058823529413,0.1925133689839572,0.24064171122994651,0.17647058823529413,0.0855614973262032,0.0106951871657754,0.0106951871657754,0.0053475935828877,0.016042780748663103,0.0213903743315508,0.016042780748663103,0.0053475935828877,0.0,0.0053475935828877,0.0,0.0053475935828877,0.0106951871657754,0.0053475935828877,0.0053475935828877,0.0213903743315508,0.0053475935828877
GSE14415 NATURAL TREG VS TCONV DN,0.29444444444444445,0.6166666666666667,1.0,0.3611111111111111,0.37222222222222223,0.35,0.3277777777777778,0.21666666666666667,0.2222222222222222,0.2722222222222222,0.22777777777777777,0.2222222222222222,0.16111111111111112,0.12222222222222222,0.08333333333333333,0.17777777777777778,0.15,0.20555555555555555,0.2111111111111111,0.17777777777777778,0.2,0.2222222222222222,0.12777777777777777,0.07222222222222222,0.0,0.005555555555555556,0.0,0.005555555555555556,0.011111111111111112,0.011111111111111112,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.0,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.0,0.0,0.0
"GSE15750 DAY6 VS DAY10 TRAF6KO EFF CD8 TCELL
UP",0.365,0.42,0.325,1.0,0.465,0.265,0.27,0.345,0.255,0.23,0.22,0.235,0.14,0.165,0.08,0.23,0.19,0.23,0.225,0.205,0.19,0.23,0.18,0.105,0.01,0.0,0.005,0.02,0.005,0.015,0.01,0.005,0.015,0.005,0.025,0.025,0.01,0.01,0.015,0.015
GSE15750 DAY6 VS DAY10 EFF CD8 TCELL UP,0.325,0.4,0.335,0.465,1.0,0.255,0.245,0.3,0.27,0.255,0.225,0.205,0.15,0.15,0.09,0.245,0.195,0.275,0.295,0.205,0.22,0.245,0.18,0.11,0.005,0.0,0.005,0.0,0.005,0.02,0.015,0.015,0.025,0.005,0.025,0.015,0.0,0.0,0.005,0.005
GSE14415 INDUCED VS NATURAL TREG DN,0.27624309392265195,0.3812154696132597,0.34806629834254144,0.292817679558011,0.281767955801105,1.0,0.2596685082872928,0.2154696132596685,0.18232044198895028,0.2430939226519337,0.23204419889502761,0.20994475138121546,0.15469613259668508,0.10497237569060773,0.06077348066298342,0.18232044198895028,0.14917127071823205,0.1878453038674033,0.20994475138121546,0.19337016574585636,0.18232044198895028,0.1878453038674033,0.13812154696132597,0.10497237569060773,0.011049723756906077,0.0055248618784530384,0.016574585635359115,0.011049723756906077,0.0,0.0,0.0,0.0,0.011049723756906077,0.011049723756906077,0.0055248618784530384,0.0,0.016574585635359115,0.0055248618784530384,0.0,0.0055248618784530384
GSE13547 CTRL VS ANTI IGM STIM BCELL 2H UP,0.24175824175824176,0.41208791208791207,0.3241758241758242,0.2967032967032967,0.2692307692307692,0.25824175824175827,1.0,0.22527472527472528,0.1813186813186813,0.23076923076923078,0.22527472527472528,0.18681318681318682,0.11538461538461539,0.1043956043956044,0.054945054945054944,0.1813186813186813,0.13186813186813187,0.1813186813186813,0.15934065934065933,0.12087912087912088,0.17582417582417584,0.1978021978021978,0.12637362637362637,0.06593406593406594,0.01098901098901099,0.01098901098901099,0.016483516483516484,0.02197802197802198,0.005494505494505495,0.01098901098901099,0.016483516483516484,0.02197802197802198,0.01098901098901099,0.0,0.01098901098901099,0.016483516483516484,0.02197802197802198,0.01098901098901099,0.02197802197802198,0.01098901098901099
"GSE39110 DAY3 VS DAY6 POST IMMUNIZATION CD8
TCELL DN",0.245,0.24,0.195,0.345,0.3,0.195,0.205,1.0,0.19,0.18,0.15,0.14,0.095,0.095,0.065,0.195,0.145,0.185,0.195,0.155,0.145,0.175,0.13,0.095,0.01,0.015,0.005,0.02,0.015,0.02,0.02,0.015,0.015,0.005,0.015,0.02,0.015,0.015,0.01,0.01
GSE2405 S AUREUS VS UNTREATED NEUTROPHIL DN,0.21608040201005024,0.24120603015075376,0.20100502512562815,0.2562814070351759,0.271356783919598,0.1658291457286432,0.1658291457286432,0.19095477386934673,1.0,0.1708542713567839,0.15577889447236182,0.12562814070351758,0.12562814070351758,0.09547738693467336,0.05527638190954774,0.16080402010050251,0.1306532663316583,0.1507537688442211,0.1658291457286432,0.1306532663316583,0.1407035175879397,0.1658291457286432,0.09547738693467336,0.08040201005025126,0.005025125628140704,0.01507537688442211,0.03015075376884422,0.020100502512562814,0.020100502512562814,0.010050251256281407,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.020100502512562814,0.010050251256281407,0.010050251256281407,0.01507537688442211,0.005025125628140704,0.01507537688442211,0.020100502512562814
GSE14415 INDUCED TREG VS TCONV UP,0.20670391061452514,0.2905027932960894,0.2737430167597765,0.2569832402234637,0.2849162011173184,0.24581005586592178,0.2346368715083799,0.2011173184357542,0.18994413407821228,1.0,0.6480446927374302,0.13966480446927373,0.15083798882681565,0.1005586592178771,0.061452513966480445,0.16201117318435754,0.12290502793296089,0.16201117318435754,0.18994413407821228,0.13966480446927373,0.16759776536312848,0.1564245810055866,0.11731843575418995,0.07262569832402235,0.0,0.00558659217877095,0.027932960893854747,0.00558659217877095,0.00558659217877095,0.0111731843575419,0.00558659217877095,0.00558659217877095,0.0111731843575419,0.0,0.01675977653631285,0.0223463687150838,0.0,0.0,0.0111731843575419,0.0
