"Query Name","Rank","Scaled Rank","Set_name","TF","Intersect","Set length","FET p-value","FDR","Odds Ratio","Library","Overlapping_Genes"
"DEG_HVL_ALL","1","0.000622300000000000","FOXM1","FOXM1","234","300","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003131999999999999","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005029999999999997","72.37000000000000455","GTEx--Coexpression","GTSE1,WDHD1,PIF1,CDCA2,CDCA3,CDCA4,CDCA5,CDCA8,NCAPG,IQGAP3,NCAPH,DHFR,FAM111B,TDP1,SASS6,EZH2,NCAPG2,CHAF1A,DLGAP5,RMI2,ACTL6A,INCENP,CKS2,CENPA,CENPU,CENPW,ATAD5,ATAD2,CENPE,CENPF,CENPH,CENPI,CENPK,CENPL,CENPM,NCAPD2,CENPO,CDKN3,CSE1L,NEK2,KPNA2,CDC25C,CDC25A,TROAP,FBXO43,PKMYT1,NDC80,ARHGAP11A,ARHGAP11B,MCM10,EXO1,SPDL1,MMS22L,DBF4,BIRC5,CDC45,E2F1,E2F7,PRC1,LRR1,CCNF,NUDT1,TONSL,CDC20,SNRPD1,ZNF724,RCC1,FBXO5,TMPO,HASPIN,KIF20A,KIF20B,BRIP1,DSN1,RACGAP1,DDIAS,XRCC2,POLA2,SUV39H2,KIF14,BRCA1,KIF11,BRCA2,KIF15,MIS18BP1,KIF23,DEPDC1,G2E3,KIF2C,PCNA,CCT5,MIS18A,TACC3,SPC24,MAD2L1,SPC25,ERCC6L,BUB1B,GEN1,BORA,PPIH,CCNB2,CCNB1,ECT2,UBE2C,HMGA1,UBE2S,KIF4A,UBE2T,HMGB2,LMNB2,LMNB1,MYBL2,CIP2A,MASTL,CCNA2,FAM72D,FAM72B,FAM72A,AURKB,AURKA,POLD1,RRM1,RRM2,POLE2,RAN,NUP37,SMC4,SMC2,WDR76,DEPDC1B,PRR11,ASF1B,RHNO1,SKA3,SKA1,PLK4,PLK1,CDC6,RAD18,NUF2,PBK,TK1,ZNF367,CEP55,NDC1,TCF19,HELLS,KIFC1,NSD2,USP1,SAAL1,RFWD3,HYLS1,HJURP,CEP128,OIP5,VRK1,TRAIP,MELK,DNMT1,HMMR,RAD51AP1,ORC6,ORC1,FANCI,CCDC18,FANCM,FANCA,FANCB,FANCG,CDK1,MCM8,RFC5,RFC3,RFC4,CKAP2L,ASPM,MCM3,MCM4,MTFR2,MCM2,TTK,HAUS8,CCDC77,SPAG5,CEP152,RAD51,MKI67,CHEK1,PCLAF,ESCO2,KNL1,PIMREG,NEIL3,CDT1,ZWINT,TPX2,TOP2A,FEN1,TUBB,DTYMK,PRIM1,TYMS,RAD54L,GINS1,GINS2,RANBP1,GINS4,TRIP13,ZWILCH,EME1,PTTG1,NUSAP1,KNTC1,SGO1,SGO2,FANCD2,TIMELESS,TEDC2,CLSPN,STIL,ALYREF,KIF18A,DIAPH3,KIF18B,CKS1B,CKAP2,POC1A,BUB3,BUB1,POLQ,SHCBP1,TICRR"
"DEG_HVL_ALL","2","0.001245000000000000","DNMT1","DNMT1","227","300","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004387999999999997229360767643","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003529999999999998127373297927","63.47999999999999687","GTEx--Coexpression","NUP107,GTSE1,WDHD1,DDX39A,CDCA2,CDCA3,CDCA5,CDCA8,NCAPG,IQGAP3,NCAPH,FAM111B,TDP1,SASS6,EZH2,NCAPG2,CHAF1A,DLGAP5,RMI2,ACTL6A,INCENP,CKS2,CENPA,RECQL4,CENPU,CENPW,ATAD5,ATAD2,CENPE,CENPF,CENPH,CENPI,CENPK,CENPL,CENPM,NCAPD2,CENPO,CSE1L,NEK2,KPNA2,CDC25C,CDC25A,MSH2,TROAP,FBXO43,PKMYT1,FUS,NDC80,ARHGAP11A,MCM10,FOXM1,EXO1,SPDL1,MMS22L,DBF4,BIRC5,CDC45,E2F7,PRC1,LRR1,CCNF,TONSL,CDC20,ZNF724,RCC1,FBXO5,TMPO,HASPIN,KIF20A,KIF20B,BRIP1,DSN1,RACGAP1,DDIAS,XRCC2,POLA2,SUV39H2,KIF14,BRCA1,KIF11,BRCA2,KIF15,CNTRL,KIF23,DEPDC1,G2E3,KIF2C,PCNA,DOT1L,SLX4,MIS18A,SPC24,MAD2L1,SPC25,ERCC6L,NUP188,BUB1B,BORA,ZGRF1,CCNB2,CCNB1,ECT2,UBE2C,NASP,UBE2S,KIF4A,LMNB2,MYBL2,CIP2A,CCNA2,FAM72D,FAM72B,FAM72A,AURKB,AURKA,POLD1,RRM2,POLE2,TAF5,RAN,SMC3,SMC4,SMC2,MTBP,RTTN,WDR76,NUP93,DEPDC1B,PRR11,ASF1B,NUP205,SKA3,SKA1,PLK4,PLK1,CDC7,CDC6,HNRNPM,RAD18,NUF2,PBK,CEP55,NDC1,TCF19,HELLS,KIFC1,NSD2,USP1,RFWD3,HYLS1,HJURP,SUPT16H,VRK1,TRAIP,MELK,HMMR,RAD51AP1,ORC6,ORC1,FANCI,CCDC18,FANCM,FANCA,FANCB,FANCG,CDK1,MCM7,MCM8,RFC3,RFC4,CKAP2L,ASPM,MCM3,MCM4,MTFR2,MCM2,TTK,HAUS8,SPAG5,CEP152,RAD51,KIAA0586,MKI67,CHEK1,PCLAF,ESCO2,KNL1,NEIL3,CDT1,ZWINT,TPX2,TOP2A,FEN1,TUBB,PRIM1,TYMS,RAD54L,GINS1,GINS2,RANBP1,GINS4,MPHOSPH9,TRIP13,ZWILCH,EME1,PTTG1,NUSAP1,KNTC1,SGO1,SGO2,FANCD2,TIMELESS,TEDC2,ZC3H18,CLSPN,STIL,ALYREF,KIF18A,DIAPH3,KIF18B,CHTF18,CKAP2,POC1A,BUB3,BUB1,POLQ,SHCBP1"
"DEG_HVL_ALL","3","0.001867000000000000","ZNF367","ZNF367","220","300","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002654999999999998819710668990423335827628","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001419999999999999386897534016465835848473","56.14000000000000057","GTEx--Coexpression","GTSE1,WDHD1,PIF1,CDCA2,CDCA5,CDCA8,NCAPG,IQGAP3,NCAPH,DHFR,FAM111B,SASS6,EZH2,NCAPG2,CHAF1A,DLGAP5,RMI2,INCENP,CKS2,CENPA,CENPW,ATAD5,ATAD2,CENPE,CENPF,CENPH,CENPI,CENPK,CENPL,CENPM,CENPN,NCAPD2,CENPQ,CSE1L,CDC25C,CDC25A,TROAP,FBXO43,BCL2L12,NDC80,ARHGAP11A,ARHGAP11B,MCM10,FOXM1,EXO1,SPDL1,MMS22L,BIRC5,CDC45,E2F1,E2F7,PRC1,CCNF,CDC20,SNRPD1,ZNF724,FBXO5,TMPO,HASPIN,KIF20A,KIF20B,BRIP1,DSN1,RACGAP1,DDIAS,XRCC2,POLA1,POLA2,SUV39H1,KIF14,BRCA1,KIF11,BRCA2,KIF15,KIF23,DEPDC1,PCNA,EXOSC8,CCT5,MIS18A,RPA3,SPC24,MAD2L1,SPC25,ERCC6L,BUB1B,TTF2,BORA,ZGRF1,PPIH,CCNB2,CCNB1,ECT2,UBE2C,KIF4A,UBE2T,HMGB2,LMNB2,LMNB1,MYBL2,CIP2A,MASTL,CCNA2,FAM72D,FAM72B,FAM72A,AURKB,AURKA,RRM1,RRM2,POLE2,RAN,NUP37,SMC4,SMC2,RTTN,WDR76,DEPDC1B,PRR11,ASF1B,SKA3,SKA1,PLK4,PLK1,CDC6,PA2G4,RAD18,NUF2,PBK,TK1,CEP55,NDC1,TCF19,HELLS,KIFC1,USP1,SAAL1,RFWD3,HJURP,OIP5,VRK1,TRAIP,MELK,SNRPG,DNMT1,HMMR,RAD51AP1,ORC6,ORC1,FANCI,CCDC18,FANCM,FANCA,FANCB,CDK1,MCM8,RFC5,RFC3,RFC4,CKAP2L,HAUS1,ASPM,MCM3,MCM4,MTFR2,MCM2,TTK,HAUS8,CCDC77,RAD51,MKI67,CHEK1,PCLAF,ESCO2,KNL1,PIMREG,NEIL3,DNA2,CDT1,ZWINT,TPX2,TOP2A,FEN1,TUBB,DTYMK,PRIM1,TYMS,RAD54B,RAD54L,GINS1,GINS2,RANBP1,GINS4,TRIP13,ZWILCH,DSCC1,EME1,PTTG1,NUSAP1,KNTC1,SGO1,SGO2,FANCD2,TIMELESS,TEDC2,CLSPN,STIL,ALYREF,KIF18A,DIAPH3,KIF18B,CKS1B,CKAP2,RBL1,POC1A,BUB3,BUB1,POLQ,SHCBP1,TICRR"
"DEG_HVL_ALL","4","0.002489000000000000","TFDP1","TFDP1","213","300","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000730799999999999797320262183228980540455968973591556","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000293999999999999833915155924316444883746689297041609","49.97999999999999687","GTEx--Coexpression","GTSE1,WDHD1,PIF1,CDCA2,PARPBP,CDCA3,CDCA4,CDCA5,CDCA8,NCAPG,IQGAP3,NCAPH,FIGNL1,DHFR,FAM111B,TDP1,SASS6,EZH2,NCAPG2,CHAF1A,DLGAP5,RMI2,RMI1,INCENP,CKS2,CENPA,CENPW,ATAD5,CENPE,CENPF,CENPH,CENPI,CENPK,CENPL,CENPM,NCAPD2,CDC25C,CDC25A,MSH2,BLM,TROAP,NDC80,ARHGAP11A,ARHGAP11B,MCM10,FOXM1,EXO1,SPDL1,MMS22L,BIRC5,CDC45,E2F1,E2F7,PRC1,CCNF,TONSL,CDC20,SNRPD1,ZNF724,RCC1,FBXO5,TMPO,HASPIN,KIF20A,KIF20B,BRIP1,RACGAP1,DDIAS,XRCC2,KIF14,BRCA1,KIF11,BRCA2,KIF15,MIS18BP1,KIF23,DEPDC1,PCNA,CCT5,MIS18A,RPA3,SPC24,MAD2L1,SPC25,ERCC6L,BUB1B,TTF2,TBC1D31,BORA,PPIH,CCNB2,CCNB1,ECT2,UBE2C,HMGA1,KIF4A,UBE2T,HMGB2,LMNB2,LMNB1,MYBL2,CIP2A,MASTL,CCNA2,FAM72D,FAM72B,FAM72A,AURKB,AURKA,POLD1,RRM1,RRM2,POLE2,RAN,NUP37,SMC4,SMC2,WDR76,DEPDC1B,PRR11,ASF1B,RHNO1,NUP205,SKA3,SKA1,PLK4,PLK1,CDC6,PA2G4,RAD18,NUF2,PBK,TK1,ZNF367,CEP55,NDC1,TCF19,HELLS,KIFC1,RFWD3,HJURP,OIP5,VRK1,TRAIP,MELK,DNMT1,HMMR,RAD51AP1,ORC6,ORC1,FANCI,CCDC18,FANCA,FANCB,CDK1,RFC5,RFC3,RFC4,CKAP2L,ASPM,MCM3,MCM4,MTFR2,MCM2,TTK,RAD51,MKI67,CHEK1,PCLAF,ESCO2,PIMREG,NEIL3,CDT1,ZWINT,TPX2,TOP2A,FEN1,TUBB,DTYMK,PRIM1,TYMS,RAD54B,RAD54L,GINS1,GINS2,RANBP1,GINS4,TRIP13,DSCC1,EME1,PTTG1,NUSAP1,KNTC1,SGO1,SGO2,FANCD2,TIMELESS,TEDC2,CLSPN,STIL,ALYREF,KIF18A,DIAPH3,KIF18B,CKS1B,CKAP2,RBL1,POC1A,BUB3,BUB1,POLQ,SHCBP1,TICRR"
"DEG_HVL_ALL","5","0.003111000000000000","CENPA","CENPA","208","300","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000068529999999999978591574981261313593308494109311612178640765","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018399999999999991376383602466921966617454928555344272451977","46.14999999999999858","GTEx--Coexpression","GTSE1,WDHD1,PIF1,PARPBP,CDCA4,CDCA5,CDCA8,NCAPG,IQGAP3,NCAPH,FIGNL1,MAGOHB,DHFR,FAM111B,SASS6,EZH2,NCAPG2,CHAF1A,DLGAP5,RMI2,INCENP,CKS2,CENPW,ATAD5,ATAD2,CENPE,CENPF,CENPH,CENPI,CENPK,CENPL,CENPM,NCAPD2,CENPQ,TROAP,BCL2L12,NDC80,ARHGAP11A,ARHGAP11B,MCM10,FOXM1,EXO1,SPDL1,MMS22L,BIRC5,CDC45,E2F1,E2F7,PRC1,CCNF,TONSL,CDC20,SNRPD1,ZNF724,FBXO5,TMPO,HASPIN,KIF20A,KIF20B,BRIP1,RACGAP1,DDIAS,XRCC2,POLA2,APOBEC3B,KIF14,BRCA1,KIF11,BRCA2,KIF15,MIS18BP1,KIF23,DEPDC1,PCNA,CD70,MIS18A,RPA3,SPC24,MAD2L1,SPC25,ERCC6L,BUB1B,TTF2,BORA,ZGRF1,PPIH,CCNB2,CCNB1,ECT2,UBE2C,HMGA1,KIF4A,UBE2T,HMGB2,LMNB2,LMNB1,MYBL2,CIP2A,MASTL,CCNA2,FAM72D,FAM72B,FAM72A,AURKB,AURKA,POLD1,RRM1,RRM2,POLE2,RAN,NUP37,SMC4,SMC2,WDR76,DEPDC1B,PRR11,ASF1B,RHNO1,NUP205,SKA3,SKA1,PLK4,PLK1,CDC6,PA2G4,RAD18,NUF2,TK1,ZNF367,CEP55,NDC1,TCF19,HELLS,KIFC1,SAAL1,HJURP,CEP128,OIP5,VRK1,TRAIP,MELK,HMMR,RAD51AP1,ORC6,ORC1,FANCI,CCDC18,FANCB,CDK1,RFC5,RFC3,RFC4,CKAP2L,HAUS1,ASPM,MCM3,MCM4,MTFR2,MCM2,TTK,HAUS8,RAD51,MKI67,CHEK1,PCLAF,ESCO2,PIMREG,NEIL3,DNA2,CDT1,ZWINT,TPX2,TOP2A,FEN1,TUBB,DTYMK,PRIM1,TYMS,RAD54B,RAD54L,GINS1,GINS2,RANBP1,GINS4,DSCC1,EME1,PTTG1,NUSAP1,KNTC1,SGO1,FANCD2,TIMELESS,TEDC2,CLSPN,STIL,ALYREF,KIF18A,DIAPH3,KIF18B,CKS1B,CKAP2,RBL1,POC1A,BUB3,BUB1,POLQ,SHCBP1,TICRR"
"DEG_HVL_ALL","6","0.003734000000000000","ZNF492","ZNF492","208","300","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000068529999999999978591574981261313593308494109311612178640765","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018399999999999991376383602466921966617454928555344272451977","46.14999999999999858","GTEx--Coexpression","GTSE1,WDHD1,PIF1,CDCA2,PARPBP,SET,CDCA4,CDCA5,CDCA8,NCAPG,IQGAP3,NCAPH,FIGNL1,FAM111B,TDP1,SASS6,EZH2,NCAPG2,CHAF1A,DLGAP5,RMI2,INCENP,CKS2,CENPA,CENPW,ATAD5,ATAD2,CENPE,CENPF,CENPH,CENPI,CENPK,CENPL,CENPM,NCAPD2,CENPQ,CDC25A,MSH2,NDC80,ARHGAP11A,ARHGAP11B,MCM10,FOXM1,EXO1,SPDL1,MMS22L,ZNF878,BIRC5,CDC45,E2F7,PRC1,CCNF,CDC20,SNRPD1,ZNF724,FBXO5,TMPO,HASPIN,KIF20A,KIF20B,BRIP1,RACGAP1,DDIAS,XRCC2,KIF14,BRCA1,KIF11,BRCA2,KIF15,MIS18BP1,KIF23,DEPDC1,PCNA,CD70,MIS18A,RPA3,SPC24,MAD2L1,SPC25,ERCC6L,BUB1B,TTF2,BORA,ZGRF1,PPIH,CCNB2,CCNB1,ECT2,UBE2C,HMGA1,KIF4A,UBE2T,HMGB2,LMNB2,LMNB1,MYBL2,CIP2A,MASTL,CCNA2,FAM72D,FAM72B,FAM72A,AURKB,AURKA,POLD1,RRM1,RRM2,POLE2,RAN,NUP37,SMC4,SMC2,WDR76,DEPDC1B,PRR11,ASF1B,RHNO1,NUP205,SKA3,SKA1,PLK4,PLK1,CDC6,RAD18,NUF2,TK1,ZNF367,CEP55,NDC1,TCF19,HELLS,KIFC1,SAAL1,RFWD3,HJURP,OIP5,SUPT16H,VRK1,TRAIP,MELK,DNMT1,HMMR,RAD51AP1,ORC6,ORC1,FANCI,CCDC18,FANCB,CDK1,MCM8,RFC5,RFC3,RFC4,CKAP2L,HAUS1,ASPM,MCM3,MCM4,MTFR2,MCM2,TTK,RAD51,MKI67,CHEK1,PCLAF,ESCO2,KNL1,PIMREG,NEIL3,CDT1,ZWINT,TPX2,TOP2A,FEN1,TUBB,DTYMK,PRIM1,TYMS,RAD54B,RAD54L,GINS1,GINS2,RANBP1,GINS4,TRIP13,ZWILCH,DSCC1,EME1,NUSAP1,KNTC1,SGO1,SGO2,FANCD2,TIMELESS,TEDC2,CLSPN,STIL,KIF18A,DIAPH3,KIF18B,CKS1B,CKAP2,RBL1,BUB3,BUB1,POLQ,SHCBP1,TICRR"
"DEG_HVL_ALL","7","0.004356000000000000","E2F1","E2F1","205","300","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003484999999999999307441503808010355648585772775222184910440776001","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000799999999999999732682287518009479772364422851922666480662443655","44.04999999999999716","GTEx--Coexpression","GTSE1,WDHD1,PIF1,CDCA2,CDCA3,CDCA5,CDCA8,NCAPG,NCAPH,DHFR,FAM111B,TDP1,EZH2,NCAPG2,CHAF1A,DLGAP5,RMI2,CKS2,CENPA,CENPW,ATAD5,CENPE,CENPF,CENPH,CENPI,CENPK,CENPL,CENPM,NCAPD2,NEK2,KPNA2,CDC25C,CDC25A,BLM,TROAP,FBXO43,NDC80,ARHGAP11A,ARHGAP11B,MCM10,FOXM1,EXO1,SPDL1,MMS22L,BIRC5,CDC45,E2F2,E2F7,PRC1,CCNF,NUDT1,TONSL,CDC20,ZNF724,FBXO5,TMPO,HASPIN,KIF20A,KIF20B,BRIP1,DSN1,RACGAP1,DDIAS,XRCC2,POLA2,APOBEC3B,SUV39H1,KIF14,BRCA1,KIF11,BRCA2,KIF15,RAC2,KIF23,DEPDC1,PCNA,MIS18A,RPA3,TACC3,SPC24,MAD2L1,SPC25,ERCC6L,BUB1B,BORA,PPIH,CCNB2,CCNB1,ECT2,UBE2C,UBE2S,KIF4A,UBE2T,HMGB2,LMNB2,LMNB1,MYBL2,CIP2A,MASTL,CCNA2,FAM72D,FAM72B,FAM72A,AURKB,AURKA,POLD1,RRM2,POLE2,RAN,SMC4,SMC2,WDR76,DEPDC1B,PRR11,ASF1B,RHNO1,SKA3,SKA1,PLCG2,PLK4,PLK1,CDC6,NUF2,PBK,TK1,ZNF367,CEP55,TCF19,HELLS,KIFC1,NSD2,RFWD3,HJURP,OIP5,VRK1,TRAIP,MELK,DNMT1,HMMR,RAD51AP1,ORC6,ORC1,FANCI,CCDC18,FANCA,FANCB,LSM4,CDK1,WRAP53,MCM7,RFC5,RFC3,RFC4,CKAP2L,RFC2,ASPM,MCM3,MCM4,MTFR2,MCM2,TTK,HAUS8,CCDC77,RAD51,MKI67,CHEK1,PCLAF,ESCO2,KNL1,PIMREG,NEIL3,CDT1,ZWINT,TPX2,TOP2A,FEN1,DTYMK,PRIM1,TYMS,RAD54L,GINS1,GINS2,RANBP1,GINS4,TRIP13,EME1,PTTG1,NUSAP1,KNTC1,SGO1,SGO2,FANCD2,TIMELESS,TEDC2,CLSPN,STIL,ALYREF,KIF18A,DIAPH3,KIF18B,CKAP2,POC1A,BUB1,POLQ,SHCBP1"
"DEG_HVL_ALL","8","0.004978000000000000","E2F7","E2F7","191","300","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005948999999999998286501111671086936225524737963750952462623992250862918920972023743053","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001189999999999999647999931290369146088082280279855947140176961125639442156778716418789","35.77000000000000313","GTEx--Coexpression","GTSE1,WDHD1,PIF1,CDCA2,CDCA5,CDCA8,NCAPG,NCAPH,FIGNL1,FAM111B,TDP1,SASS6,EZH2,NCAPG2,DLGAP5,RMI2,CKS2,CENPA,CENPW,ATAD5,ATAD2,CENPE,CENPF,CENPH,CENPI,CENPK,CENPL,CENPM,NCAPD2,LY75,CDC25A,NDC80,ARHGAP11A,ARHGAP11B,MCM10,FOXM1,EXO1,SPDL1,MMS22L,ZNF878,BIRC5,CDC45,PRC1,CCNF,CDC20,SNRPD1,ZNF724,FBXO5,TMPO,HASPIN,KIF20A,KIF20B,BRIP1,RACGAP1,DDIAS,XRCC2,KIF14,BRCA1,KIF11,BRCA2,KIF15,KIF23,DEPDC1,PCNA,CD70,MIS18A,RPA3,SPC24,MAD2L1,SPC25,ERCC6L,BUB1B,TTF2,BORA,ZGRF1,PPIH,CCNB2,CCNB1,ECT2,UBE2C,HMGA1,KIF4A,UBE2T,HMGB2,LMNB2,LMNB1,MYBL2,CIP2A,MASTL,CCNA2,FAM72D,FAM72B,FAM72A,AURKB,AURKA,POLD1,RRM1,RRM2,POLE2,RAN,NUP37,SMC4,SMC2,WDR76,DEPDC1B,PRR11,ASF1B,NUP205,SKA3,SKA1,PLK4,PLK1,CDC6,RAD18,NUF2,TK1,ZNF367,CEP55,NDC1,TCF19,HELLS,KIFC1,HJURP,OIP5,VRK1,TRAIP,MELK,DNMT1,HMMR,RAD51AP1,ORC6,ORC1,FANCI,CCDC18,FANCA,FANCB,CDK1,RFC5,RFC3,RFC4,CKAP2L,ASPM,MCM3,MCM4,MTFR2,MCM2,TTK,CEP152,RAD51,MKI67,CHEK1,PCLAF,ESCO2,PIMREG,NEIL3,DNA2,CDT1,ZWINT,TPX2,TOP2A,FEN1,TUBB,PRIM1,TYMS,RAD54B,RAD54L,GINS1,GINS2,RANBP1,GINS4,DSCC1,EME1,PTTG1,NUSAP1,KNTC1,SGO1,FANCD2,TIMELESS,TEDC2,CLSPN,STIL,KIF18A,DIAPH3,KIF18B,CKS1B,CKAP2,BUB3,BUB1,POLQ,SHCBP1,TICRR"
"DEG_HVL_ALL","9","0.005600000000000000","ZNF695","ZNF695","185","300","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003307999999999999196733837990647459466038914801869175937688094677281676788229611008768753356508","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000590999999999999916752017272079652637035731510392650616327514045558615208659183003777312513535","32.84000000000000341","GTEx--Coexpression","GTSE1,WDHD1,PIF1,CDCA5,CDCA8,NCAPG,NCAPH,FIGNL1,DHFR,FAM111B,SASS6,NCAPG2,DLGAP5,RMI2,CKS2,CENPA,CENPW,ATAD5,ATAD2,CENPE,CENPF,CENPH,CENPI,CENPK,CENPL,CENPM,NCAPD2,CENPQ,LY75,NDC80,ARHGAP11A,ARHGAP11B,MCM10,FOXM1,EXO1,SPDL1,MMS22L,ZNF878,BIRC5,E2F7,PRC1,CCNF,CDC20,SNRPD1,ZNF724,FBXO5,TMPO,HASPIN,KIF20A,KIF20B,BRIP1,RACGAP1,DDIAS,XRCC2,KIF14,BRCA1,KIF11,BRCA2,KIF15,MIS18BP1,KIF23,DEPDC1,PCNA,CD70,MIS18A,RPA3,SPC24,MAD2L1,SPC25,ERCC6L,BUB1B,TTF2,BORA,ZGRF1,PPIH,CCNB1,ECT2,UBE2C,HMGA1,KIF4A,UBE2T,HMGB2,LMNB2,LMNB1,MYBL2,CIP2A,MASTL,CCNA2,FAM72D,FAM72B,FAM72A,AURKB,AURKA,RRM1,RRM2,POLE2,RAN,NUP37,SMC4,SMC2,WDR76,DEPDC1B,PRR11,ASF1B,NUP205,SKA3,SKA1,PLK4,PLK1,CDC6,RAD18,NUF2,TK1,ZNF367,CEP55,NDC1,TCF19,HELLS,KIFC1,SAAL1,HJURP,VRK1,TRAIP,MELK,HMMR,RAD51AP1,ORC6,ORC1,FANCI,CCDC18,FANCB,CDK1,RFC5,RFC3,RFC4,CKAP2L,HAUS1,ASPM,MCM3,MCM4,MTFR2,MCM2,TTK,RAD51,MKI67,CHEK1,PCLAF,ESCO2,PIMREG,NEIL3,DNA2,CDT1,ZWINT,TPX2,TOP2A,FEN1,TUBB,DTYMK,PRIM1,TYMS,RAD54B,RAD54L,GINS1,GINS2,RANBP1,GINS4,DSCC1,EME1,NUSAP1,KNTC1,SGO1,TIMELESS,TEDC2,CLSPN,STIL,KIF18A,DIAPH3,KIF18B,CKS1B,CKAP2,BUB3,BUB1,POLQ,SHCBP1,TICRR"
"DEG_HVL_ALL","10","0.006223000000000000","MYBL2","MYBL2","180","300","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044699999999999984937529553581020688833841494690986801949745149304278829529060604439538943532244685980","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006529999999999997803969298447439082467073650872668171426164165078119517189293276299136925189234204200","30.62000000000000099","GTEx--Coexpression","GTSE1,WDHD1,PIF1,CDCA5,CDCA8,NCAPG,NCAPH,FAM111B,TDP1,SASS6,EZH2,NCAPG2,CHAF1A,DLGAP5,RMI2,CKS2,CENPA,CENPW,ATAD5,CENPE,CENPF,CENPH,CENPI,CENPK,CENPL,CENPM,NCAPD2,LY75,CDC25A,BLM,TROAP,BCL2L12,NDC80,ARHGAP11A,ARHGAP11B,MCM10,FOXM1,EXO1,MMS22L,ZNF878,BIRC5,CDC45,E2F1,E2F7,PRC1,CCNF,TONSL,CDC20,ZNF724,FBXO5,TMPO,HASPIN,KIF20B,BRIP1,RACGAP1,DDIAS,XRCC2,POLA2,APOBEC3B,KIF14,BRCA1,KIF11,BRCA2,KIF15,PCNA,CD70,MIS18A,RPA3,SPC24,MAD2L1,SPC25,ERCC6L,BUB1B,TTF2,BORA,ZGRF1,PPIH,CCNB2,CCNB1,UBE2C,KIF4A,UBE2T,HMGB2,LMNB1,CIP2A,MASTL,CCNA2,FAM72D,FAM72B,FAM72A,AURKB,AURKA,POLD1,RRM2,POLE2,RAN,SMC4,SMC2,WDR76,DEPDC1B,PRR11,ASF1B,SKA3,SKA1,PLCG2,PLK4,PLK1,CDC6,NUF2,TK1,CEP55,NDC1,TCF19,HELLS,KIFC1,RFWD3,HJURP,VRK1,TRAIP,MELK,DNMT1,HMMR,RAD51AP1,ORC6,ORC1,FANCI,CCDC18,FANCA,FANCB,CDK1,RFC5,RFC3,RFC4,CKAP2L,ASPM,MCM3,MCM4,MTFR2,MCM2,TTK,HAUS8,RAD51,MKI67,CHEK1,PCLAF,ESCO2,NEIL3,DNA2,CDT1,ZWINT,TPX2,TOP2A,FEN1,PRIM1,TYMS,RAD54B,RAD54L,GINS1,GINS2,RANBP1,GINS4,EME1,PTTG1,NUSAP1,KNTC1,SGO1,FANCD2,TIMELESS,TEDC2,CLSPN,STIL,ALYREF,KIF18A,KIF18B,POC1A,BUB3,BUB1,POLQ,SHCBP1,TICRR"
